"BFS Nr.";"Gemeinde";"1. Gesamtsteuerfuss ohne Kirche (in Prozent)";"2. Gesamtsteuerfuss ohne Kirche (in Prozent)";"3. Gesamtsteuerfuss ohne Kirche (in Prozent)";"Abweichung Vorjahr ohne Kirche (Prozentpunkte)";"1. Gesamtsteuerfuss mit ref. Kirche (in Prozent)";"2. Gesamtsteuerfuss mit ref. Kirche (in Prozent)";"3. Gesamtsteuerfuss mit ref. Kirche (in Prozent)";"Abweichung Vorjahr mit ref. Kirche (Prozentpunkte)";"1. Gesamtsteuerfuss mit kath. Kirche (in Prozent)";"2. Gesamtsteuerfuss mit kath. Kirche (in Prozent)";"3. Gesamtsteuerfuss mit kath. Kirche (in Prozent)";"Abweichung Vorjahr mit kath. Kirche (Prozentpunkte)";"1. Gesamtsteuerfuss mit christkath. Kirche (in Prozent)";"2. Gesamtsteuerfuss mit christkath. Kirche (in Prozent)";"3. Gesamtsteuerfuss mit christkath. Kirche (in Prozent)";"Abweichung Vorjahr mit christkath. Kirche (Prozentpunkte)";"Juristischer Steuerfuss";"Definitiv"
"131";"Adliswil";"104";"";"";"2";"115";"";"";"3";"115";"";"";"3";"118";"";"";"2";"115";"1"
"241";"Aesch";"91";"";"";"0";"102";"";"";"0";"101";"";"";"0";"105";"";"";"0";"101.6";"1"
"1";"Aeugst a.A.";"92";"";"";"0";"106";"";"";"2";"105";"";"";"0";"106";"";"";"0";"105.67";"1"
"2";"Affoltern a.A.";"122";"";"";"0";"136";"";"";"2";"135";"";"";"0";"136";"";"";"0";"135.49";"1"
"211";"Altikon";"114";"";"";"0";"126";"";"";"0";"126";"";"";"-1";"128";"";"";"0";"126";"1"
"291";"Andelfingen";"119";"";"";"2";"131";"";"";"2";"133";"";"";"2";"133";"";"";"2";"131.5";"1"
"51";"Bachenbülach";"106";"";"";"0";"116";"";"";"0";"117";"";"";"0";"120";"";"";"0";"116.46";"1"
"81";"Bachs";"128";"";"";"0";"142";"";"";"0";"138";"";"";"0";"142";"";"";"0";"140.96";"1"
"52";"Bassersdorf";"114";"";"";"0";"126";"";"";"0";"123";"";"";"0";"128";"";"";"0";"124.53";"1"
"297";"Bauma";"120";"";"";"0";"134";"";"";"0";"133";"";"";"0";"134";"";"";"0";"133.69";"1"
"22";"Benken";"110";"";"";"0";"124";"";"";"0";"124";"";"";"0";"124";"";"";"0";"124";"1"
"23";"Berg a.I.";"98";"";"";"0";"110";"";"";"0";"111";"";"";"0";"112";"";"";"0";"110.14";"1"
"242";"Birmensdorf";"112";"";"";"0";"123";"";"";"0";"122";"";"";"0";"126";"";"";"0";"122.54";"1"
"3";"Bonstetten";"106";"";"";"-3";"120";"";"";"-1";"117";"";"";"-3";"120";"";"";"-3";"118.68";"1"
"82";"Boppelsen";"94";"";"";"0";"107";"";"";"0";"104";"";"";"0";"108";"";"";"0";"105.95";"1"
"213";"Brütten";"85";"";"";"0";"97";"";"";"0";"98";"";"";"0";"99";"";"";"0";"97.27";"1"
"112";"Bubikon";"118";"";"";"0";"132";"";"";"0";"131";"131";"";"1";"132";"";"";"0";"131.62";"1"
"24";"Buch a.I.";"106";"";"";"0";"118";"";"";"0";"119";"";"";"0";"120";"";"";"0";"118.17";"1"
"83";"Buchs";"105";"";"";"0";"116";"";"";"0";"115";"";"";"0";"119";"";"";"0";"115.49";"1"
"111";"Bäretswil";"104";"";"";"-2";"118";"";"";"-2";"117";"";"";"-2";"118";"";"";"-2";"117.71";"1"
"53";"Bülach";"114";"";"";"0";"124";"";"";"0";"125";"";"";"0";"128";"";"";"0";"124.5";"1"
"25";"Dachsen";"111";"";"";"0";"123";"";"";"0";"125";"";"";"0";"125";"";"";"0";"123.62";"1"
"86";"Dielsdorf";"105";"";"";"0";"117";"";"";"0";"115";"";"";"0";"119";"";"";"0";"115.94";"1"
"243";"Dietikon";"121";"";"";"0";"133";"";"";"0";"134";"";"";"0";"135";"";"";"0";"133.69";"1"
"54";"Dietlikon";"105";"";"";"0";"116";"";"";"0";"113";"";"";"0";"119";"";"";"0";"114.5";"1"
"216";"Dinhard";"90";"";"";"0";"102";"";"";"0";"102";"";"";"-1";"104";"";"";"0";"102";"1"
"26";"Dorf";"99";"";"";"-5";"113";"";"";"-5";"112";"";"";"-5";"113";"";"";"-5";"112.75";"1"
"214";"Dägerlen";"106";"";"";"0";"120";"";"";"0";"118";"";"";"-1";"120";"";"";"0";"119.82";"1"
"84";"Dällikon";"107";"";"";"0";"118";"";"";"0";"117";"";"";"0";"121";"";"";"0";"117.42";"1"
"85";"Dänikon";"120";"";"";"0";"131";"";"";"0";"130";"";"";"0";"134";"";"";"0";"130.49";"1"
"215";"Dättlikon";"112";"";"";"-2";"124";"";"";"-2";"125";"";"";"-2";"126";"";"";"-2";"124.23";"1"
"191";"Dübendorf";"92";"";"";"-4";"103";"";"";"-4";"103";"";"";"-4";"106";"";"";"-4";"103";"1"
"113";"Dürnten";"113";"";"";"0";"127";"";"";"0";"126";"";"";"1";"127";"";"";"0";"126.57";"1"
"192";"Egg";"101";"";"";"0";"113";"";"";"0";"110";"";"";"0";"115";"";"";"0";"111.65";"1"
"55";"Eglisau";"113";"";"";"0";"126";"";"";"0";"126";"";"";"0";"127";"";"";"0";"126";"1"
"294";"Elgg";"119";"";"";"-2";"133";"";"";"-2";"133";"";"";"-2";"133";"";"";"-2";"133";"1"
"218";"Ellikon a.d.Th.";"117";"";"";"0";"129";"";"";"0";"129";"";"";"-1";"131";"";"";"0";"129";"1"
"219";"Elsau";"117";"";"";"0";"131";"";"";"0";"129";"";"";"-1";"131";"";"";"0";"130.61";"1"
"56";"Embrach";"112";"";"";"-2";"124";"";"";"-2";"125";"";"";"-2";"126";"";"";"-2";"124.46";"1"
