Jahrgang,Geschlecht,Alter,qx
1950,Frau,0,0.026064
1950,Frau,1,0.002889
1950,Frau,2,0.00155
1950,Frau,3,0.001127
1950,Frau,4,0.001051
1950,Frau,5,0.000541
1950,Frau,6,0.000516
1950,Frau,7,0.000417
1950,Frau,8,0.000221
1950,Frau,9,0.000343
1950,Frau,10,0.000268
1950,Frau,11,0.00021
1950,Frau,12,0.000337
1950,Frau,13,0.00024
1950,Frau,14,0.000217
1950,Frau,15,0.000392
1950,Frau,16,0.000498
1950,Frau,17,0.000386
1950,Frau,18,0.000426
1950,Frau,19,0.000361
1950,Frau,20,0.000558
1950,Frau,21,0.000573
1950,Frau,22,0.000394
1950,Frau,23,0.000711
1950,Frau,24,0.000302
1950,Frau,25,0.000447
1950,Frau,26,0.000432
1950,Frau,27,0.000351
1950,Frau,28,0.000557
1950,Frau,29,0.000638
1950,Frau,30,0.000594
1950,Frau,31,0.00051
1950,Frau,32,0.000609
1950,Frau,33,0.000547
1950,Frau,34,0.000749
1950,Frau,35,0.000829
1950,Frau,36,0.000524
1950,Frau,37,0.000824
1950,Frau,38,0.001001
1950,Frau,39,0.001017
1950,Frau,40,0.001133
1950,Frau,41,0.00097
1950,Frau,42,0.001187
1950,Frau,43,0.001167
1950,Frau,44,0.001742
1950,Frau,45,0.001428
1950,Frau,46,0.001654
1950,Frau,47,0.002081
1950,Frau,48,0.001967
1950,Frau,49,0.001873
1950,Frau,50,0.001778
1950,Frau,51,0.002151
1950,Frau,52,0.002077
1950,Frau,53,0.002186
1950,Frau,54,0.002971
1950,Frau,55,0.002842
1950,Frau,56,0.003418
1950,Frau,57,0.003583
1950,Frau,58,0.003662
1950,Frau,59,0.003531
1950,Frau,60,0.003829
1950,Frau,61,0.004192
1950,Frau,62,0.004432
1950,Frau,63,0.004521
1950,Frau,64,0.005317
1950,Frau,65,0.00598
1950,Frau,66,0.006368
1950,Frau,67,0.006454
1950,Frau,68,0.007464
1950,Frau,69,0.008767
1950,Frau,70,0.009107
1950,Frau,71,0.010385
1950,Frau,72,0.01054
1950,Frau,73,0.010685
1950,Frau,74,0.011695
1950,Frau,75,0.012855
1950,Frau,76,0.014196
1950,Frau,77,0.015771
1950,Frau,78,0.017651
1950,Frau,79,0.019911
1950,Frau,80,0.022622
1950,Frau,81,0.025838
1950,Frau,82,0.029657
1950,Frau,83,0.034198
1950,Frau,84,0.039549
1950,Frau,85,0.045872
1950,Frau,86,0.053332
1950,Frau,87,0.062025
1950,Frau,88,0.072026
1950,Frau,89,0.083356
1950,Frau,90,0.095996
1950,Frau,91,0.109922
1950,Frau,92,0.125104
1950,Frau,93,0.141521
1950,Frau,94,0.159167
1950,Frau,95,0.178078
1950,Frau,96,0.198298
1950,Frau,97,0.219848
1950,Frau,98,0.2428
1950,Frau,99,0.267374
1950,Frau,100,0.293536
1950,Frau,101,0.321229
1950,Frau,102,0.350635
1950,Frau,103,0.382062
1950,Frau,104,0.415749
1950,Frau,105,0.450596
1950,Frau,106,0.486074
1950,Frau,107,0.525514
1950,Frau,108,0.566644
1950,Frau,109,0.609188
1950,Frau,110,0.652902
1950,Frau,111,0.69741
1950,Frau,112,0.742177
1950,Frau,113,0.786485
1950,Frau,114,0.829429
1950,Frau,115,0.869932
1950,Frau,116,0.906808
1950,Frau,117,0.938877
1950,Frau,118,0.965149
1950,Frau,119,0.985098
1950,Frau,120,1.0
1950,Mann,0,0.034688
1950,Mann,1,0.003632
1950,Mann,2,0.001753
1950,Mann,3,0.001071
1950,Mann,4,0.001115
1950,Mann,5,0.000934
1950,Mann,6,0.000491
1950,Mann,7,0.000957
1950,Mann,8,0.000606
1950,Mann,9,0.000514
1950,Mann,10,0.00042
1950,Mann,11,0.000408
1950,Mann,12,0.000571
1950,Mann,13,0.000473
1950,Mann,14,0.000535
1950,Mann,15,0.000579
1950,Mann,16,0.00092
1950,Mann,17,0.000766
1950,Mann,18,0.0011
1950,Mann,19,0.001644
1950,Mann,20,0.001965
1950,Mann,21,0.002021
1950,Mann,22,0.001723
1950,Mann,23,0.001398
1950,Mann,24,0.001272
1950,Mann,25,0.001628
1950,Mann,26,0.001468
1950,Mann,27,0.001138
1950,Mann,28,0.001261
1950,Mann,29,0.001111
1950,Mann,30,0.001245
1950,Mann,31,0.001251
1950,Mann,32,0.001501
1950,Mann,33,0.001174
1950,Mann,34,0.001207
1950,Mann,35,0.001162
1950,Mann,36,0.001489
1950,Mann,37,0.001697
1950,Mann,38,0.001454
1950,Mann,39,0.001755
1950,Mann,40,0.002149
1950,Mann,41,0.002145
1950,Mann,42,0.002342
1950,Mann,43,0.002035
1950,Mann,44,0.002844
1950,Mann,45,0.002372
1950,Mann,46,0.002695
1950,Mann,47,0.002909
1950,Mann,48,0.003007
1950,Mann,49,0.002863
1950,Mann,50,0.003437
1950,Mann,51,0.003718
1950,Mann,52,0.00433
1950,Mann,53,0.004208
1950,Mann,54,0.004757
1950,Mann,55,0.004606
1950,Mann,56,0.005217
1950,Mann,57,0.005852
1950,Mann,58,0.006282
1950,Mann,59,0.006897
1950,Mann,60,0.007187
1950,Mann,61,0.007385
1950,Mann,62,0.007752
1950,Mann,63,0.008687
1950,Mann,64,0.01015
1950,Mann,65,0.010321
1950,Mann,66,0.01102
1950,Mann,67,0.012129
1950,Mann,68,0.012608
1950,Mann,69,0.013462
1950,Mann,70,0.016484
1950,Mann,71,0.017192
1950,Mann,72,0.018247
1950,Mann,73,0.018798
1950,Mann,74,0.020418
1950,Mann,75,0.022259
1950,Mann,76,0.024348
1950,Mann,77,0.026745
1950,Mann,78,0.029534
1950,Mann,79,0.032785
1950,Mann,80,0.036554
1950,Mann,81,0.040994
1950,Mann,82,0.046241
1950,Mann,83,0.052433
1950,Mann,84,0.059653
1950,Mann,85,0.067927
1950,Mann,86,0.077304
1950,Mann,87,0.087953
1950,Mann,88,0.100101
1950,Mann,89,0.114015
1950,Mann,90,0.129826
1950,Mann,91,0.147587
1950,Mann,92,0.167129
1950,Mann,93,0.188257
1950,Mann,94,0.210802
1950,Mann,95,0.234463
1950,Mann,96,0.259072
1950,Mann,97,0.285152
1950,Mann,98,0.313501
1950,Mann,99,0.345062
1950,Mann,100,0.379976
1950,Mann,101,0.417915
1950,Mann,102,0.457609
1950,Mann,103,0.499272
1950,Mann,104,0.549229
1950,Mann,105,0.612089
1950,Mann,106,0.649698
1950,Mann,107,0.688393
1950,Mann,108,0.727782
1950,Mann,109,0.767322
1950,Mann,110,0.806301
1950,Mann,111,0.84385
1950,Mann,112,0.878975
1950,Mann,113,0.910641
1950,Mann,114,0.937892
1950,Mann,115,0.960008
1950,Mann,116,0.976673
1950,Mann,117,0.988092
1950,Mann,118,0.995003
1950,Mann,119,0.998538
1950,Mann,120,1.0
1951,Frau,0,0.026333
1951,Frau,1,0.002401
1951,Frau,2,0.001451
1951,Frau,3,0.00099
1951,Frau,4,0.000507
1951,Frau,5,0.00051
1951,Frau,6,0.000535
1951,Frau,7,0.00056
1951,Frau,8,0.000408
1951,Frau,9,0.000278
1951,Frau,10,0.000316
1951,Frau,11,0.000375
1951,Frau,12,0.000183
1951,Frau,13,0.000205
1951,Frau,14,0.000273
1951,Frau,15,0.00025
1951,Frau,16,0.000248
1951,Frau,17,0.000448
1951,Frau,18,0.000447
1951,Frau,19,0.000544
1951,Frau,20,0.000516
1951,Frau,21,0.000566
1951,Frau,22,0.000384
1951,Frau,23,0.000633
1951,Frau,24,0.000426
1951,Frau,25,0.000452
1951,Frau,26,0.00041
1951,Frau,27,0.000496
1951,Frau,28,0.000495
1951,Frau,29,0.000513
1951,Frau,30,0.000382
1951,Frau,31,0.000507
1951,Frau,32,0.000463
1951,Frau,33,0.000609
1951,Frau,34,0.000986
1951,Frau,35,0.000669
1951,Frau,36,0.000832
1951,Frau,37,0.000787
1951,Frau,38,0.000908
1951,Frau,39,0.000801
1951,Frau,40,0.000943
1951,Frau,41,0.000982
1951,Frau,42,0.000899
1951,Frau,43,0.001492
1951,Frau,44,0.001168
1951,Frau,45,0.001274
1951,Frau,46,0.001402
1951,Frau,47,0.001262
1951,Frau,48,0.002137
1951,Frau,49,0.00179
1951,Frau,50,0.001797
